Date,Transaction,Loads,Withdrawal,Balance,Notes
2023-07-19 17:50:43 -0700 -0700,Gumrd.com* Philipp Ste,0.00,25.12,190.94,
2023-07-19 17:50:47 -0700 -0700,Gumrd.com* Philipp Ste,0.00,44.04,146.90,
2023-07-19 18:57:23 -0700 -0700,La Vallee Memramcook 8,0.00,23.20,123.70,
2023-07-20 09:24:48 -0700 -0700,Cash back,5.76,0.00,129.46,
2023-07-20 09:25:28 -0700 -0700,e-Transfer to: Joel Palk-Ricard,0.00,80.00,49.46,
2023-07-21 08:27:04 -0700 -0700,Magasin General Colleg,0.00,3.30,46.16,
2023-07-21 14:41:32 -0700 -0700,GUMRD.COM* PHILIPP STE SAN FRANCISCO CA,25.12,0.00,71.28,
2023-07-23 20:35:37 -0700 -0700,Debit card load from ***2278,1500.00,0.00,1571.28,
2023-07-23 20:37:28 -0700 -0700,e-Transfer to: ECFC RBC,0.00,1000.00,571.28,
2023-07-23 21:24:58 -0700 -0700,e-Transfer to: ECFC RBC,0.00,400.00,171.28,
2023-07-24 08:17:31 -0700 -0700,e-Transfer to: ECFC RBC,0.00,130.00,41.28,
2023-07-24 08:18:23 -0700 -0700,e-Transfer from: JOEL PALK-RICARD,400.00,0.00,441.28,
2023-07-24 08:53:46 -0700 -0700,Pc Express 350,0.00,260.64,180.64,
2023-07-24 14:59:15 -0700 -0700,Pc Express 350,90.14,0.00,270.78,Settled
2023-07-25 02:30:42 -0700 -0700,Dnh*Godaddy.com Canada,0.00,52.00,218.78,
2023-07-25 09:01:50 -0700 -0700,Nibble,0.00,39.48,179.30,Pending
2023-07-25 12:11:30 -0700 -0700,Pc Express 350,0.00,90.14,89.16,
2023-07-25 12:11:30 -0700 -0700,Pc Express 350,0.00,90.14,-0.98,Pending
2023-07-27 09:35:39 -0700 -0700,Cash back,5.96,0.00,4.98,
